United States_x,United States_y
55566,50167651
67796,51186679
82089,52276187
81258,53442776
79073,54941685
68329,56740160
48675,58240515
47644,59363564
57210,60378381
71333,61728270
73399,63333714
75097,65209541
63413,68113913
46036,69007870
56398,70266535
64411,71337623
70324,72855994
69676,74664787
73485,76380791
72583,78498895
45068,80528506
65440,81871322
72292,83023412
83065,84553040
81698,86406636
82298,88590651
74557,90718608
53630,92618444
70068,93986739
74280,95003040
80663,96531404
